"NAME_EN","NAME_ES","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Suriname","Surinam","","","","","","","","","","","","","","","","","","","","","",""
"France","Francia","52581312","50476541","49305864","47258820","48543473","52477178","59537872","61551258","61214656","58318312","60864422.113513","64185339.34113","64683769.024321","63925151","63434263","65039503","65362743","68316473","70188028","71289277","24956343","32000528"
"Ecuador","Ecuador","1318518","1284922","1184098","1521249","1828303","2011004","2110423","2630759","2926821","2896528","4818305","4714115","4758406.3067717","5157521","5675088","5677816","5099726","5121235","5365261","4827978","1146368.544","1534854"
"Puerto Rico","Puerto Rico","","","","","","","","","","","","","","","","","","","","","",""
"Jamaica","Jamaica","1922123","1946123","2016000","1838047","2007765","1573785","1526571","1618165","1644056","1380000","0","0","0","46272","76244","92836","136744","151326","180951.272","","",""
"Cuba","Cuba","1007193","882309","588700","610957","743256","812781","811559","857213","861352","780484","1578011.7886714","1478595.9591607","1313502.683984","1395072","1135200","1294458","1333078","942785","563540","457130","99838","22359"
"Zimbabwe","Zimbabue","","","","","","","","","","","","","","","","","","","","","",""
"Botswana","Botsuana","","","","","","","","","","","","","","","","","","","","","",""
"Namibia","Namibia","247147","215237","222009","265655","282915","399280","400947","430741","452167","454855","485849","540867.9","632330.085","510000","522216","553322","558713","623076","602893","212578","62262.67","2245.772"
"Senegal","Senegal","97525","176413","231333","129974","416372","449682","500677","538845","567101","572609","0","391401.4","543987.6","219996","131964","115355","9874","21038","278438.28855991","457722","271331","359705.738"
"Mali","Malí","77273","46364","","","","","","","","","303692","363857.37590431","181742.61420249","33444","0","","","","","","",""
"Mauritania","Mauritania","185061","155687","105541","116136","128329","138595","149188","154662","153895","142355","524817.89473153","381075.92356343","325239.52355014","261696","271212","248158","280215","418817","379211","386621","100904","207225"
"Benin","Benín","","","","","","","","","","","","","","","","","","","","","",""
"Niger","Níger","77273","46364","","","","","","","","","0","0","119652","87936","13227.5","15243","15044","14713","","","","15019.2"
"Nigeria","Nigeria","507396","519453","520278","520263","540461","747648","1307541","1363435","1460900","1365343","4197375","4793913.2741604","4716148.0807306","4209624","4462001.6297301","4613169","4110075","4789878","7786143.9941623","6539048.3530901","3435350.518","4486313.422"
"Cameroon","Camerún","273000","324114","243122","315100","355610","384059","424794","453051","470598","466050","0","171007.2","248027.2","287208","275760","267208","343592","236000","265136","83882","40884","177992"
"Togo","Togo","77273","46364","","","","","","","","","663013","832351.1563973","745781.74809138","840948","426344.03992044","420875","475185","500686","566295","633629","320806","672184"
"Ghana","Ghana","314335","301135","255630","241111","96444","","","","","","169030.94960614","491583.03444624","691271.96142731","396372","407544","390457","359516","681691","467624","597343","321437","559393"
"Ivory Coast","Costa de Marfil","","","","","","","","","","","","","","","","","","","","","",""
"Guinea","Guinea","","","","","","","","","","","","","","","","","","","","","",""
"Guinea-Bissau","Guinea-Bisáu","","","","","","","","","","","","","","","","","","","","","",""
"Liberia","Liberia","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Sierra Leona","19009","13877","13877","13599","15503","16743","18752","20252","21420","21784","0","48789","50193","","","","","","","","",""
"Burkina Faso","Burkina Faso","143529","100286","53236","54475","61364","66273","73131","77810","80543","79345","160000","133709.77917108","125693.69644491","138996","117420","122590","144950","145049","189545.33687603","185841","70228","112940"
